ID Cliente,Nome Cliente,Distância (km),Tipo Entrega,Tipo Pagamento,Data e Horário do Pedido,Pedido,Valor Total (R$),Quantidade de Itens,Tem Pizza,Tem Bebida
130,Cliente_130,6.21,Entrega Rápida,PIX,2024-09-11 19:12:00,"Chocolate com Morango, Mexicana, Romeu e Julieta, Camarão, Refrigerante 2L",125.5,5,1,1
127,Cliente_127,2.0,Retirada,PIX,2024-09-10 19:57:00,"Prestígio, Alho e Óleo, Atum",78.5,3,1,0
67,Cliente_67,9.73,Entrega Rápida,Cartão Débito,2024-05-18 18:41:00,"Português, Banana com Canela, Pesto, Pesto, Cerveja Lata",111.5,5,1,1
190,Cliente_190,1.2,Entrega Rápida,Cartão Débito,2024-07-14 21:41:00,Cerveja Lata,7.0,1,0,1
110,Cliente_110,6.5,Entrega Padrão,Cartão Crédito,2024-05-03 18:06:00,,0.0,0,0,0
37,Cliente_37,7.45,Entrega Padrão,PIX,2024-03-12 20:47:00,"Frango com Catupiry, Prestígio, Mussarela, Lombo com Catupiry, Refrigerante Lata, Refrigerante Lata",144.5,6,1,1
80,Cliente_80,8.93,Entrega Rápida,Dinheiro,2024-07-10 18:32:00,"Banana com Canela, Frango com Catupiry, Atum, Romeu e Julieta, Mexicana, Refrigerante 2L",145.0,6,1,1
141,Cliente_141,7.33,Entrega Padrão,Dinheiro,2024-05-18 18:49:00,"Margarida, Strogonoff de Carne, Chocolate, Palmito, Chocolate, Refrigerante Lata",138.0,6,1,1
84,Cliente_84,13.86,Entrega Rápida,Dinheiro,2024-08-25 19:23:00,"Prestígio, Strogonoff de Carne, Refrigerante Lata, Refrigerante Lata, Cerveja Long Neck",79.5,5,1,1
145,Cliente_145,9.33,Entrega Padrão,Cartão Crédito,2024-01-27 18:56:00,"Strogonoff de Frango, Catupiry, Atum, Frango com Catupiry, Refrigerante Lata, Cerveja Lata",132.0,6,1,1
15,Cliente_15,1.84,Entrega Padrão,PIX,2024-04-29 22:43:00,"Pepperoni, Cerveja Lata, Cerveja Lata, Cerveja Long Neck",57.0,4,1,1
28,Cliente_28,12.08,Entrega Padrão,Cartão Crédito,2024-03-11 18:34:00,"Cerveja Lata, Refrigerante 2L, Cerveja Long Neck",29.0,3,0,1
79,Cliente_79,9.52,Retirada,PIX,2024-04-02 20:25:00,"Carne Seca, Frango com Catupiry, Frango com Catupiry, Mussarela, Prestígio, Cerveja Long Neck, Cerveja Long Neck",192.5,7,1,1
175,Cliente_175,5.8,Retirada,Cartão Débito,2024-10-24 20:56:00,"Refrigerante Lata, Refrigerante 2L",15.0,2,0,1
67,Cliente_67,1.11,Retirada,PIX,2024-04-15 20:37:00,"Atum, Vegetariana, Chocolate, Calabresa, Cerveja Long Neck, Cerveja Long Neck, Refrigerante Lata",133.5,7,1,1
52,Cliente_52,1.24,Entrega Rápida,Cartão Crédito,2024-03-24 21:52:00,Alho e Óleo,26.0,1,1,0
72,Cliente_72,3.78,Entrega Padrão,Dinheiro,2024-01-22 19:16:00,"Chocolate, Banana com Canela, Cerveja Long Neck, Cerveja Lata, Refrigerante 2L",72.5,5,1,1
66,Cliente_66,4.15,Retirada,Cartão Débito,2024-08-24 23:55:00,"Refrigerante Lata, Refrigerante 2L",15.0,2,0,1
50,Cliente_50,1.46,Entrega Padrão,Cartão Crédito,2024-09-04 23:31:00,"Mussarela, Carne Seca",84.0,2,1,0
39,Cliente_39,4.75,Entrega Rápida,Dinheiro,2024-12-03 21:06:00,"Milho com Bacon, Atum, Milho com Bacon, Cerveja Lata",92.0,4,1,1
151,Cliente_151,3.91,Entrega Padrão,PIX,2024-03-12 18:58:00,"Sorvete, Cerveja Long Neck, Cerveja Long Neck, Refrigerante Lata",55.0,4,1,1
29,Cliente_29,11.71,Entrega Padrão,Cartão Débito,2024-11-23 23:22:00,"Brócolis com Bacon, Strogonoff de Carne, Calabresa, Frango com Catupiry",120.5,4,1,0
135,Cliente_135,4.88,Entrega Rápida,Cartão Crédito,2024-10-12 19:43:00,Cerveja Lata,7.0,1,0,1
184,Cliente_184,1.04,Entrega Rápida,Cartão Débito,2024-08-07 20:47:00,"Pesto, Camarão, Strogonoff de Carne, Alho e Óleo, Strogonoff de Frango, Cerveja Long Neck",166.0,6,1,1
90,Cliente_90,7.39,Retirada,Cartão Crédito,2024-05-04 22:06:00,"Frango com Catupiry, Português, Strogonoff de Carne, Sorvete, Palmito, Refrigerante Lata, Refrigerante 2L, Cerveja Long Neck",173.5,8,1,1
2,Cliente_2,6.89,Entrega Rápida,Cartão Crédito,2024-05-01 23:23:00,"Refrigerante Lata, Cerveja Long Neck",17.0,2,0,1
149,Cliente_149,9.84,Retirada,Cartão Crédito,2024-04-11 18:37:00,"Palmito, Cerveja Lata, Cerveja Lata, Refrigerante 2L",53.5,4,1,1
35,Cliente_35,10.82,Retirada,Cartão Débito,2024-02-19 23:09:00,"Romeu e Julieta, Pepperoni, Cerveja Long Neck, Cerveja Lata, Refrigerante Lata",78.5,5,1,1
45,Cliente_45,14.21,Entrega Rápida,Cartão Crédito,2024-02-27 19:28:00,Refrigerante Lata,5.0,1,0,1
197,Cliente_197,11.28,Retirada,Dinheiro,2024-02-25 18:51:00,"Mussarela, Cerveja Long Neck, Cerveja Lata, Refrigerante Lata",74.0,4,1,1
59,Cliente_59,14.49,Entrega Rápida,Dinheiro,2024-09-28 22:17:00,"Strogonoff de Carne, Calabresa, Refrigerante Lata, Cerveja Long Neck",77.5,4,1,1
146,Cliente_146,10.06,Entrega Padrão,Dinheiro,2024-04-17 21:27:00,"Quatro Queijos, Pepperoni, Romeu e Julieta, Calabresa, Alho e Óleo, Cerveja Lata, Refrigerante Lata",149.0,7,1,1
190,Cliente_190,10.43,Entrega Rápida,PIX,2024-03-04 19:44:00,Pepperoni,31.0,1,1,0
31,Cliente_31,13.01,Entrega Padrão,Cartão Débito,2024-01-29 19:43:00,"Banana com Canela, Refrigerante Lata, Refrigerante Lata, Cerveja Lata",38.5,4,1,1
151,Cliente_151,6.07,Retirada,PIX,2024-04-09 18:53:00,Catupiry,29.5,1,1,0
174,Cliente_174,6.99,Entrega Padrão,PIX,2024-10-10 23:01:00,"Lombo com Catupiry, Margarida, Margarida, Mussarela, Cerveja Lata, Refrigerante Lata, Cerveja Long Neck",157.0,7,1,1
121,Cliente_121,1.61,Retirada,PIX,2024-06-28 22:13:00,"Sorvete, Strogonoff de Carne, Atum, Português, Calabresa, Refrigerante 2L, Cerveja Lata",159.5,7,1,1
99,Cliente_99,8.29,Retirada,Cartão Crédito,2024-11-22 20:46:00,"Chocolate com Morango, Camarão, Cerveja Long Neck, Cerveja Lata, Cerveja Long Neck",91.0,5,1,1
58,Cliente_58,10.56,Retirada,Dinheiro,2024-10-11 18:24:00,Refrigerante Lata,5.0,1,0,1
123,Cliente_123,2.83,Entrega Rápida,Cartão Débito,2024-02-24 22:29:00,"Banana com Canela, Refrigerante 2L, Refrigerante 2L",41.5,3,1,1
143,Cliente_143,10.12,Retirada,PIX,2024-11-02 18:14:00,"Sorvete, Alho e Óleo, Quatro Queijos, Catupiry, Chocolate com Morango",135.5,5,1,0
60,Cliente_60,1.26,Retirada,Cartão Débito,2024-12-27 18:26:00,"Strogonoff de Carne, Strogonoff de Carne",66.0,2,1,0
34,Cliente_34,5.36,Entrega Padrão,Cartão Crédito,2024-11-30 19:04:00,"Strogonoff de Carne, Vegetariana, Bacon, Camarão, Refrigerante Lata, Cerveja Long Neck, Cerveja Lata",147.5,7,1,1
110,Cliente_110,12.19,Entrega Rápida,Cartão Crédito,2024-08-04 20:21:00,"Catupiry, Refrigerante Lata",34.5,2,1,1
162,Cliente_162,7.35,Retirada,Dinheiro,2024-03-28 18:14:00,"Prestígio, Vegetariana, Alho e Óleo, Sorvete, Napolitana, Cerveja Long Neck, Refrigerante Lata, Refrigerante Lata",151.0,8,1,1
178,Cliente_178,5.37,Entrega Rápida,Cartão Débito,2024-08-20 21:39:00,"Napolitana, Quatro Queijos, Abacaxi, Strogonoff de Frango, Napolitana, Refrigerante 2L, Refrigerante 2L",155.5,7,1,1
175,Cliente_175,6.27,Retirada,Cartão Crédito,2024-03-14 23:07:00,"Vegetariana, Palmito, Prestígio, Refrigerante 2L, Refrigerante 2L",101.0,5,1,1
154,Cliente_154,8.25,Entrega Padrão,Cartão Crédito,2024-02-08 22:21:00,"Mussarela, Milho com Bacon, Pepperoni, Cerveja Long Neck",121.5,4,1,1
24,Cliente_24,2.73,Entrega Padrão,Dinheiro,2024-07-19 19:05:00,"Mussarela, Romeu e Julieta, Palmito, Refrigerante Lata, Cerveja Long Neck",120.0,5,1,1
31,Cliente_31,4.65,Retirada,PIX,2024-12-25 19:15:00,"Pesto, Chocolate com Morango, Refrigerante 2L, Cerveja Lata",69.5,4,1,1
27,Cliente_27,0.7,Retirada,Cartão Crédito,2024-08-08 23:32:00,"Catupiry, Prestígio, Cerveja Long Neck",66.0,3,1,1
86,Cliente_86,6.14,Entrega Rápida,Dinheiro,2024-01-05 18:09:00,Refrigerante 2L,10.0,1,0,1
97,Cliente_97,4.8,Entrega Rápida,PIX,2024-03-28 20:27:00,"Alho e Óleo, Banana com Canela, Napolitana, Vegetariana, Cerveja Long Neck, Refrigerante Lata, Refrigerante Lata",122.0,7,1,1
163,Cliente_163,8.08,Entrega Padrão,Dinheiro,2024-05-06 21:22:00,Cerveja Long Neck,12.0,1,0,1
3,Cliente_3,7.57,Entrega Rápida,PIX,2024-10-10 19:15:00,"Pesto, Mussarela, Mussarela",127.5,3,1,0
56,Cliente_56,13.52,Entrega Padrão,Dinheiro,2024-03-16 23:04:00,"Prestígio, Atum, Napolitana",78.0,3,1,0
150,Cliente_150,2.15,Entrega Rápida,Cartão Crédito,2024-01-02 20:25:00,"Quatro Queijos, Vegetariana, Banana com Canela, Carne Seca, Quatro Queijos",140.5,5,1,0
150,Cliente_150,12.8,Entrega Padrão,PIX,2024-07-10 23:45:00,"Pesto, Carne Seca, Catupiry, Vegetariana, Chocolate, Refrigerante 2L, Refrigerante 2L, Cerveja Long Neck",172.0,8,1,1
6,Cliente_6,2.49,Entrega Rápida,Cartão Débito,2024-10-23 23:55:00,"Refrigerante Lata, Cerveja Lata, Cerveja Long Neck",24.0,3,0,1
5,Cliente_5,11.09,Retirada,Cartão Débito,2024-09-27 20:34:00,"Romeu e Julieta, Catupiry, Chocolate, Camarão, Milho com Bacon, Refrigerante 2L, Cerveja Long Neck, Refrigerante 2L",170.5,8,1,1
148,Cliente_148,10.07,Retirada,Cartão Débito,2024-11-17 18:40:00,"Pesto, Pesto, Mussarela, Cerveja Long Neck, Cerveja Lata",124.0,5,1,1
68,Cliente_68,2.34,Entrega Padrão,PIX,2024-10-29 20:04:00,"Português, Brócolis com Bacon, Atum, Alho e Óleo, Brócolis com Bacon, Cerveja Long Neck, Cerveja Lata, Refrigerante Lata",166.0,8,1,1
9,Cliente_9,10.68,Entrega Padrão,PIX,2024-02-01 18:00:00,Cerveja Lata,7.0,1,0,1
100,Cliente_100,12.23,Entrega Padrão,PIX,2024-03-13 19:06:00,"Frango com Catupiry, Quatro Queijos, Atum, Refrigerante Lata, Cerveja Long Neck, Refrigerante Lata",109.0,6,1,1
105,Cliente_105,13.34,Retirada,Dinheiro,2024-06-15 23:08:00,"Cerveja Lata, Cerveja Lata",14.0,2,0,1
163,Cliente_163,1.42,Entrega Padrão,Dinheiro,2024-01-27 19:50:00,"Pepperoni, Calabresa, Mussarela, Refrigerante Lata, Cerveja Long Neck",125.5,5,1,1
154,Cliente_154,9.2,Entrega Padrão,Cartão Débito,2024-07-19 21:37:00,"Português, Quatro Queijos, Refrigerante 2L, Cerveja Long Neck",79.0,4,1,1
24,Cliente_24,11.35,Retirada,PIX,2024-08-14 18:41:00,"Chocolate, Frango com Catupiry, Brócolis com Bacon, Mussarela, Cerveja Long Neck, Refrigerante Lata, Cerveja Lata",156.0,7,1,1
60,Cliente_60,8.88,Entrega Rápida,Cartão Débito,2024-06-25 21:54:00,"Palmito, Chocolate, Banana com Canela, Mussarela, Carne Seca",157.0,5,1,0
97,Cliente_97,5.88,Entrega Rápida,Dinheiro,2024-07-20 18:25:00,"Catupiry, Atum, Prestígio, Cerveja Long Neck",94.0,4,1,1
97,Cliente_97,6.69,Entrega Padrão,Cartão Débito,2024-09-24 21:31:00,"Palmito, Prestígio, Brócolis com Bacon, Abacaxi",107.0,4,1,0
78,Cliente_78,6.95,Entrega Rápida,Dinheiro,2024-08-29 22:39:00,"Romeu e Julieta, Mexicana, Refrigerante 2L",65.5,3,1,1
81,Cliente_81,12.25,Entrega Rápida,Dinheiro,2024-10-07 21:07:00,Refrigerante 2L,10.0,1,0,1
200,Cliente_200,1.15,Retirada,Dinheiro,2024-05-14 20:23:00,"Vegetariana, Cerveja Long Neck, Refrigerante 2L, Cerveja Lata",56.0,4,1,1
65,Cliente_65,9.87,Entrega Padrão,Cartão Crédito,2024-07-29 23:57:00,Quatro Queijos,29.0,1,1,0
26,Cliente_26,11.35,Entrega Padrão,Cartão Crédito,2024-01-31 20:30:00,"Prestígio, Refrigerante Lata",29.5,2,1,1
131,Cliente_131,14.22,Entrega Rápida,PIX,2024-01-23 20:02:00,"Português, Prestígio, Refrigerante 2L",62.5,3,1,1
84,Cliente_84,11.0,Entrega Rápida,Cartão Crédito,2024-09-21 18:20:00,"Lombo com Catupiry, Calabresa, Bacon, Alho e Óleo, Frango com Catupiry, Refrigerante 2L",152.0,6,1,1
73,Cliente_73,4.32,Entrega Rápida,Dinheiro,2024-09-09 22:01:00,"Chocolate, Napolitana, Frango com Catupiry, Refrigerante Lata, Refrigerante Lata, Refrigerante Lata",92.5,6,1,1
35,Cliente_35,0.72,Entrega Rápida,Dinheiro,2024-01-15 22:53:00,"Milho com Bacon, Palmito, Vegetariana, Mexicana, Cerveja Lata, Cerveja Lata",131.0,6,1,1
86,Cliente_86,8.25,Entrega Padrão,Cartão Débito,2024-11-15 22:46:00,"Refrigerante Lata, Cerveja Long Neck",17.0,2,0,1
13,Cliente_13,12.12,Retirada,Dinheiro,2024-03-03 22:54:00,Refrigerante 2L,10.0,1,0,1
152,Cliente_152,9.58,Retirada,PIX,2024-11-22 20:18:00,"Banana com Canela, Romeu e Julieta, Mexicana, Calabresa, Cerveja Lata, Cerveja Lata, Cerveja Long Neck",130.5,7,1,1
20,Cliente_20,11.57,Entrega Rápida,Dinheiro,2024-12-17 18:15:00,"Strogonoff de Frango, Português, Romeu e Julieta, Banana com Canela, Chocolate com Morango, Cerveja Long Neck",142.5,6,1,1
71,Cliente_71,10.04,Entrega Rápida,PIX,2024-04-26 22:21:00,"Frango com Catupiry, Brócolis com Bacon, Cerveja Lata",67.0,3,1,1
44,Cliente_44,11.03,Entrega Rápida,Cartão Débito,2024-09-21 18:46:00,"Refrigerante 2L, Refrigerante Lata",15.0,2,0,1
50,Cliente_50,8.92,Retirada,PIX,2024-11-11 19:05:00,Refrigerante Lata,5.0,1,0,1
96,Cliente_96,8.38,Entrega Rápida,Cartão Crédito,2024-05-16 18:00:00,"Pesto, Chocolate com Morango, Chocolate, Cerveja Lata",81.5,4,1,1
111,Cliente_111,6.38,Entrega Rápida,PIX,2024-09-15 21:56:00,"Banana com Canela, Banana com Canela, Sorvete, Prestígio, Alho e Óleo, Cerveja Long Neck, Refrigerante Lata",136.5,7,1,1
19,Cliente_19,6.94,Retirada,Cartão Crédito,2024-06-02 20:01:00,"Margarida, Cerveja Long Neck",38.5,2,1,1
139,Cliente_139,12.48,Entrega Padrão,PIX,2024-07-07 20:08:00,"Palmito, Milho com Bacon",58.0,2,1,0
15,Cliente_15,2.73,Entrega Padrão,Dinheiro,2024-01-28 21:32:00,"Catupiry, Chocolate com Morango, Romeu e Julieta, Mussarela, Refrigerante 2L, Refrigerante 2L",148.0,6,1,1
161,Cliente_161,3.56,Entrega Rápida,PIX,2024-03-30 22:07:00,"Catupiry, Calabresa, Cerveja Lata, Cerveja Lata",71.0,4,1,1
62,Cliente_62,8.2,Entrega Rápida,Dinheiro,2024-01-06 23:44:00,"Napolitana, Pesto, Pepperoni",84.0,3,1,0
165,Cliente_165,3.05,Entrega Padrão,Dinheiro,2024-03-31 19:46:00,"Prestígio, Strogonoff de Carne, Palmito, Cerveja Long Neck, Cerveja Long Neck",111.0,5,1,1
95,Cliente_95,6.44,Retirada,Cartão Débito,2024-11-08 18:49:00,"Chocolate, Camarão, Abacaxi, Refrigerante 2L, Cerveja Lata, Cerveja Long Neck",109.0,6,1,1
189,Cliente_189,4.65,Entrega Padrão,Cartão Débito,2024-12-24 23:57:00,"Refrigerante Lata, Refrigerante Lata, Cerveja Lata",17.0,3,0,1
104,Cliente_104,2.72,Entrega Padrão,PIX,2024-10-10 18:48:00,"Prestígio, Cerveja Long Neck",36.5,2,1,1
114,Cliente_114,6.98,Entrega Rápida,Dinheiro,2024-02-16 20:21:00,"Banana com Canela, Napolitana, Chocolate com Morango, Vegetariana, Atum, Refrigerante 2L, Refrigerante 2L, Cerveja Lata",154.0,8,1,1
46,Cliente_46,13.58,Retirada,Dinheiro,2024-12-28 20:46:00,"Quatro Queijos, Vegetariana, Mussarela, Chocolate com Morango",131.0,4,1,0
194,Cliente_194,0.89,Retirada,Cartão Débito,2024-01-15 18:08:00,"Atum, Mussarela, Refrigerante 2L",88.0,3,1,1
119,Cliente_119,9.02,Retirada,Cartão Débito,2024-08-05 20:25:00,"Abacaxi, Prestígio, Cerveja Lata",54.5,3,1,1
149,Cliente_149,11.19,Entrega Rápida,Dinheiro,2024-08-29 23:05:00,"Mussarela, Catupiry, Margarida, Refrigerante 2L, Cerveja Long Neck, Refrigerante 2L",138.0,6,1,1
143,Cliente_143,5.04,Retirada,Cartão Débito,2024-02-21 21:26:00,"Catupiry, Frango com Catupiry, Margarida, Romeu e Julieta, Banana com Canela, Cerveja Long Neck, Refrigerante 2L, Cerveja Long Neck",165.0,8,1,1
9,Cliente_9,5.42,Retirada,PIX,2024-10-10 20:21:00,"Camarão, Cerveja Lata, Refrigerante Lata",47.0,3,1,1
107,Cliente_107,0.93,Entrega Rápida,Cartão Crédito,2024-09-28 22:08:00,"Lombo com Catupiry, Margarida, Mexicana, Português, Prestígio, Refrigerante Lata, Cerveja Long Neck, Refrigerante Lata",163.0,8,1,1
162,Cliente_162,14.64,Retirada,Cartão Crédito,2024-09-10 18:56:00,"Chocolate, Lombo com Catupiry, Strogonoff de Frango, Carne Seca, Cerveja Lata, Refrigerante Lata, Cerveja Lata",137.5,7,1,1
159,Cliente_159,0.83,Retirada,Dinheiro,2024-12-21 18:04:00,"Banana com Canela, Português, Margarida, Carne Seca, Cerveja Lata, Refrigerante 2L",127.0,6,1,1
58,Cliente_58,9.61,Entrega Padrão,PIX,2024-10-28 21:50:00,"Mexicana, Sorvete, Cerveja Lata, Refrigerante Lata",70.0,4,1,1
93,Cliente_93,6.67,Entrega Padrão,PIX,2024-12-03 21:12:00,"Português, Camarão, Quatro Queijos, Sorvete",118.0,4,1,0
113,Cliente_113,13.79,Entrega Padrão,PIX,2024-02-13 23:04:00,"Camarão, Bacon, Quatro Queijos, Mussarela, Refrigerante 2L, Refrigerante 2L",162.5,6,1,1
196,Cliente_196,1.64,Entrega Padrão,Dinheiro,2024-02-15 22:34:00,"Pepperoni, Pesto, Quatro Queijos",87.5,3,1,0
55,Cliente_55,14.1,Entrega Rápida,Cartão Crédito,2024-08-06 21:40:00,"Romeu e Julieta, Atum, Cerveja Long Neck, Cerveja Long Neck, Cerveja Lata",82.5,5,1,1
43,Cliente_43,8.65,Entrega Rápida,Dinheiro,2024-07-09 20:43:00,"Strogonoff de Carne, Milho com Bacon, Carne Seca, Português, Cerveja Long Neck, Cerveja Long Neck, Cerveja Lata",154.5,7,1,1
127,Cliente_127,9.45,Retirada,Dinheiro,2024-10-01 18:53:00,"Quatro Queijos, Sorvete, Bacon, Cerveja Long Neck",95.5,4,1,1
96,Cliente_96,2.02,Entrega Rápida,Cartão Débito,2024-08-02 21:35:00,"Português, Margarida, Carne Seca, Cerveja Lata, Refrigerante 2L",105.5,5,1,1
20,Cliente_20,1.34,Entrega Padrão,Dinheiro,2024-02-28 22:21:00,"Alho e Óleo, Chocolate com Morango, Prestígio, Prestígio, Bacon, Cerveja Long Neck, Refrigerante 2L",150.5,7,1,1
120,Cliente_120,5.95,Retirada,Dinheiro,2024-02-05 22:31:00,"Pesto, Refrigerante 2L, Refrigerante Lata",42.5,3,1,1
159,Cliente_159,13.9,Entrega Rápida,Cartão Crédito,2024-11-05 21:11:00,"Cerveja Long Neck, Refrigerante Lata, Cerveja Lata",24.0,3,0,1
150,Cliente_150,13.84,Entrega Padrão,Dinheiro,2024-04-25 23:15:00,"Milho com Bacon, Calabresa, Napolitana, Chocolate, Cerveja Lata, Cerveja Long Neck",122.5,6,1,1
82,Cliente_82,11.97,Retirada,Dinheiro,2024-01-11 20:43:00,"Atum, Bacon, Strogonoff de Frango, Frango com Catupiry, Bacon, Cerveja Lata, Refrigerante Lata, Cerveja Lata",166.5,8,1,1
128,Cliente_128,0.67,Entrega Padrão,Dinheiro,2024-04-16 23:39:00,"Romeu e Julieta, Vegetariana, Sorvete, Refrigerante Lata, Cerveja Long Neck, Cerveja Long Neck",105.5,6,1,1
68,Cliente_68,10.31,Entrega Rápida,PIX,2024-02-14 18:47:00,"Strogonoff de Frango, Prestígio, Bacon",85.5,3,1,0
40,Cliente_40,7.08,Entrega Rápida,Cartão Débito,2024-06-28 18:59:00,"Abacaxi, Refrigerante 2L, Cerveja Long Neck, Cerveja Lata",52.0,4,1,1
62,Cliente_62,12.13,Entrega Rápida,Cartão Crédito,2024-06-23 21:14:00,"Sorvete, Napolitana, Mussarela, Alho e Óleo, Cerveja Lata, Refrigerante Lata",139.5,6,1,1
133,Cliente_133,14.95,Entrega Rápida,Dinheiro,2024-07-04 19:51:00,Refrigerante Lata,5.0,1,0,1
58,Cliente_58,4.87,Entrega Padrão,PIX,2024-03-15 18:28:00,"Banana com Canela, Bacon, Refrigerante Lata, Refrigerante Lata, Cerveja Lata",67.0,5,1,1
31,Cliente_31,12.34,Entrega Rápida,Dinheiro,2024-07-26 20:37:00,"Banana com Canela, Strogonoff de Frango",54.0,2,1,0
60,Cliente_60,14.2,Retirada,PIX,2024-07-29 18:57:00,"Camarão, Romeu e Julieta",58.5,2,1,0
17,Cliente_17,10.18,Entrega Rápida,Dinheiro,2024-06-19 18:19:00,"Calabresa, Palmito, Refrigerante Lata, Cerveja Long Neck, Refrigerante 2L",84.0,5,1,1
40,Cliente_40,6.39,Retirada,PIX,2024-03-12 19:47:00,"Chocolate, Bacon, Pesto, Lombo com Catupiry, Cerveja Long Neck, Cerveja Long Neck",132.0,6,1,1
69,Cliente_69,8.54,Entrega Padrão,Cartão Débito,2024-05-30 18:07:00,"Português, Catupiry, Milho com Bacon, Refrigerante 2L, Refrigerante Lata, Refrigerante 2L",111.0,6,1,1
140,Cliente_140,13.87,Entrega Rápida,Cartão Crédito,2024-05-03 20:28:00,"Calabresa, Napolitana, Mexicana, Quatro Queijos, Calabresa, Cerveja Lata, Refrigerante Lata, Refrigerante Lata",158.5,8,1,1
2,Cliente_2,13.12,Retirada,Dinheiro,2024-01-18 21:03:00,Refrigerante 2L,10.0,1,0,1
118,Cliente_118,11.27,Entrega Rápida,PIX,2024-04-04 22:24:00,"Camarão, Quatro Queijos, Cerveja Long Neck, Refrigerante Lata, Cerveja Long Neck",93.0,5,1,1
113,Cliente_113,7.53,Entrega Padrão,Cartão Débito,2024-02-28 23:28:00,"Romeu e Julieta, Banana com Canela, Português, Refrigerante 2L, Cerveja Lata",90.0,5,1,1
111,Cliente_111,2.81,Entrega Rápida,Cartão Crédito,2024-07-15 22:10:00,"Calabresa, Strogonoff de Carne, Pesto, Português, Refrigerante Lata",121.0,5,1,1
8,Cliente_8,6.49,Entrega Rápida,Dinheiro,2024-05-20 23:46:00,"Frango com Catupiry, Vegetariana, Cerveja Lata, Cerveja Lata",71.0,4,1,1
139,Cliente_139,10.39,Entrega Rápida,PIX,2024-10-07 23:42:00,Romeu e Julieta,23.5,1,1,0
24,Cliente_24,9.46,Entrega Padrão,Cartão Débito,2024-12-04 19:59:00,"Lombo com Catupiry, Strogonoff de Carne, Português, Prestígio, Refrigerante Lata, Cerveja Long Neck, Cerveja Long Neck",144.5,7,1,1
